ID,IMMAGINE,DOMANDA,RISPOSTA 1,RISPOSTA 1 V/F,RISPOSTA 2,RISPOSTA 2 V/F,PROGRESSIVO,CAPITOLO,TEMA,VOCE
45,,"Con riguardo alla teoria della vela, il multiscafo ha una maggiore stabilità.",VERO,V,FALSO,F,2.1.1-45,VELA,TEORIA,TEORIA DELLA VELA
46,,Il bulbo zavorrato di un'unità a vela fornisce maggiore stabilità per contrastare l'azione esterna del vento.,VERO,V,FALSO,F,2.1.1-46,VELA,TEORIA,TEORIA DELLA VELA
47,,La stabilità di un'imbarcazione a vela è assicurata dal bulbo zavorrato.,VERO,V,FALSO,F,2.1.1-47,VELA,TEORIA,TEORIA DELLA VELA
48,,"La vela tende, per sua natura, ad assumere una posizione neutra di 45° rispetto al flusso del vento e a ricevere una spinta in tale direzione.",VERO,F,FALSO,V,2.1.1-48,VELA,TEORIA,TEORIA DELLA VELA
49,,Per andatura si intende la direzione verso cui procede un'unità  a vela rispetto alla direzione di provenienza del vento.,VERO,F,FALSO,F,2.1.1-49,VELA,TEORIA,TEORIA DELLA VELA
50,,"Si chiama ""bolina"" l'andatura in cui l'unità a vela procede con una direzione di rotta che forma un angolo di circa 45° rispetto alla direzione del vento reale.",VERO,V,FALSO,F,2.1.1-50,VELA,TEORIA,TEORIA DELLA VELA
51,,"Si chiama ""lasco"" l'andatura in cui l'unità  a vela procede con una direzione di rotta che forma un angolo di circa 135° rispetto alla direzione del vento reale.",VERO,V,FALSO,F,2.1.1-51,VELA,TEORIA,TEORIA DELLA VELA
52,,"Si chiama ""traverso"" l'andatura in cui l'unità  a vela procede con una direzione di rotta che forma un angolo di 90° rispetto alla direzione del vento reale.",VERO,V,FALSO,F,2.1.1-52,VELA,TEORIA,TEORIA DELLA VELA
53,,"Si chiama ""lasco"" l'andatura in cui l'unità  a vela procede con una direzione di rotta che forma un angolo di circa 90° rispetto alla direzione del vento reale.",VERO,F,FALSO,V,2.1.1-53,VELA,TEORIA,TEORIA DELLA VELA
54,,"Si chiama ""poppa"" o ""fil di ruota"" l'andatura in cui l'unità a vela procede con una direzione di rotta che forma un angolo di 180° rispetto alla direzione del vento reale.",VERO,V,FALSO,F,2.1.1-54,VELA,TEORIA,TEORIA DELLA VELA
55,,"Procedendo di bolina, a bordo il vento percepito risulta d'intensità superiore a quella reale.",VERO,V,FALSO,F,2.1.1-55,VELA,TEORIA,TEORIA DELLA VELA
56,,Procedendo di poppa la velocita avvertita dell'unità a vela sembra elevata perché l'intensità del vento percepita risulta superiore rispetto a quella reale.,VERO,F,FALSO,V,2.1.1-56,VELA,TEORIA,TEORIA DELLA VELA
57,,Il settore di bordeggio è la zona dello scafo di un'unità navale a vela che concorre a fornire la spinta velica e quindi ad incrementare la velocità della stessa in funzione della direzione del vento.,VERO,F,FALSO,V,2.1.1-57,VELA,TEORIA,TEORIA DELLA VELA
58,,"Si intende per lato sottovento, la superficie sopravvento della vela che è sottoposta a una depressione.",VERO,F,FALSO,V,2.1.1-58,VELA,TEORIA,TEORIA DELLA VELA
59,,Il centro velico è il punto di applicazione della risultante delle forze dovute all'azione del vento sulle vele.,VERO,V,FALSO,F,2.1.1-59,VELA,TEORIA,TEORIA DELLA VELA
60,,E' il centro velico il punto di applicazione delle forza idrodinamica sullo scafo dovuta allo scarroccio.,VERO,F,FALSO,V,2.1.1-60,VELA,TEORIA,TEORIA DELLA VELA
61,,Il centro di deriva è il centro dello scafo a vela di piccole dimensioni.,VERO,F,FALSO,V,2.1.1-61,VELA,TEORIA,TEORIA DELLA VELA
62,,Il centro di deriva è il punto di applicazione della resistenza laterale che si oppone alle forze idrodinamiche esercitate sull'opera viva.,VERO,V,FALSO,F,2.1.1-62,VELA,TEORIA,TEORIA DELLA VELA
63,,Il centro velico e il centro di deriva servono per determinare il punto nave a vela.,VERO,F,FALSO,V,2.1.1-63,VELA,TEORIA,TEORIA DELLA VELA
64,,"In condizioni di timone neutro (al centro), quando il centro velico è collocato a proravia del centro di deriva, l'unità navale a vela si allontanata dalla direzione del vento (è poggiera).",VERO,V,FALSO,F,2.1.1-64,VELA,TEORIA,TEORIA DELLA VELA
65,,"In condizioni di timone neutro (al centro), quando il centro velico è allineato con il centro di deriva, l'unità navale a vela si definisce equilibrata (né poggiera né orziera).",VERO,V,FALSO,F,2.1.1-65,VELA,TEORIA,TEORIA DELLA VELA
66,,"La posizione del centro velico per le unità navali a vela dipende dalla forma della vela, dalla reciproca influenza tra le vele bordate e dalla messa a punto dell'attrezzatura.",VERO,V,FALSO,F,2.1.1-66,VELA,TEORIA,TEORIA DELLA VELA
67,,La posizione del centro di deriva delle unità a vela dipende dalla forma delle vele.,VERO,F,FALSO,V,2.1.1-67,VELA,TEORIA,TEORIA DELLA VELA
68,,"Si intende per sopravento, il lato dell'unità ubicato al di sotto del punto di applicazione del vento apparente.",VERO,F,FALSO,V,2.1.1-68,VELA,TEORIA,TEORIA DELLA VELA
69,,"Si intende per sottovento, il lato dell'unità opposto rispetto a quello su cui batte il vento.",VERO,V,FALSO,F,2.1.1-69,VELA,TEORIA,TEORIA DELLA VELA
70,,"La dizione di ""mure a dritta/mure a sinistra"" indica la parte prodiera dello scafo sulla quale si infrangono le onde.",VERO,F,FALSO,V,2.1.1-70,VELA,TEORIA,TEORIA DELLA VELA
71,,Per grasso della vela si intende la parte della vela più prossima alla tensione della drizza.,VERO,F,FALSO,V,2.1.1-71,VELA,TEORIA,TEORIA DELLA VELA
72,,Il piano velico è l'organizzazione delle vele di un'unità come da progetto ed è essenzialmente caratterizzato dal numero di alberi e dal tipo di vele a disposizione.,VERO,V,FALSO,F,2.1.1-72,VELA,TEORIA,TEORIA DELLA VELA
73,,Per portanza si intende il peso complessivo di tutte le attrezzature veliche imbarcate su un'unità a vela.,VERO,F,FALSO,V,2.1.1-73,VELA,TEORIA,TEORIA DELLA VELA
74,,Lo svergolamento della vela dipende dalla velocità del vento reale che aumenta in funzione dell'altezza da cui spira rispetto alla superficie del mare.,VERO,V,FALSO,F,2.1.1-74,VELA,TEORIA,TEORIA DELLA VELA
75,,"Per ""straorza"" si intende l'improvviso cambio di prua verso la direzione di provenienza del vento,  causato da una raffica  o da un'onda particolarmente intensa.",VERO,V,FALSO,F,2.1.1-75,VELA,TEORIA,TEORIA DELLA VELA
76,,"Per ""strapoggia"" si intende l'improvviso allontanarsi della prua dalla direzione del vento tale anche da causare una strambata.",VERO,V,FALSO,F,2.1.1-76,VELA,TEORIA,TEORIA DELLA VELA
77,,"Per ""raffica"" si intende una particolare tipologia di venti, di rilevante intensità, che spirano prevalentemente da levante o da ponente.",VERO,F,FALSO,V,2.1.1-77,VELA,TEORIA,TEORIA DELLA VELA
78,,"Per ""scarroccio"" si intende la traslazione laterale dell'unità a vela per effetto del vento esercitato sullo scafo durante la navigazione.",VERO,V,FALSO,F,2.1.1-78,VELA,TEORIA,TEORIA DELLA VELA
79,,"Un'unità a vela scuffia quando si ribalta, immergendo l'albero anche fino a 180° rispetto alla posizione iniziale.",VERO,V,FALSO,F,2.1.1-79,VELA,TEORIA,TEORIA DELLA VELA
80,,"Si intende per ""smagrire"" la vela il variare della superficie portante della stessa riducendone la sua concavità.",VERO,V,FALSO,F,2.1.1-80,VELA,TEORIA,TEORIA DELLA VELA
81,,"Si dice ""stringere il vento"" il condurre l'unità a vela lascando quanto più possibile le vele, allontanando la prua dalla direzione dalla quale proviene il vento.",VERO,F,FALSO,V,2.1.1-81,VELA,TEORIA,TEORIA DELLA VELA
82,,"Si dice ""poggiare"" il condurre l'unità a vela lascando quanto più possibile le vele, allontanando la prua dalla direzione dalla quale proviene il vento.",VERO,V,FALSO,F,2.1.1-82,VELA,TEORIA,TEORIA DELLA VELA
83,,La forza di propulsione risulta parallela all'asse longitudinale dell'unità navale a vela.,VERO,V,FALSO,F,2.1.1-83,VELA,TEORIA,TEORIA DELLA VELA
84,,La forza di scarroccio e la forza di propulsione hanno origine dalla forza risultante generata dal vento sulla superificie velica.,VERO,V,FALSO,F,2.1.1-84,VELA,TEORIA,TEORIA DELLA VELA
85,,"Si intende per ""corda"" della vela la linea idealmente tracciata per unire le due estremità del profilo della vela.",VERO,V,FALSO,F,2.1.1-85,VELA,TEORIA,TEORIA DELLA VELA
86,,La concavità della vela assolve alla funzione di diminuire la resistenza all'avanzamento dell'unità.,VERO,F,FALSO,V,2.1.1-86,VELA,TEORIA,TEORIA DELLA VELA
87,,Lo spostamento del peso dell'equipaggio a bordo durante la navigazione a vela può servire a contrastare l'azione sbandante generata dal vento sulla superficie velica.,VERO,V,FALSO,F,2.1.1-87,VELA,TEORIA,TEORIA DELLA VELA
88,,Per contrastare la tendenza poggera dell'unità a vela è utile spostare i pesi verso prua.,VERO,V,FALSO,F,2.1.1-88,VELA,TEORIA,TEORIA DELLA VELA
89,,Per contrastare la tendenza orziera dell'unità a vela è utile spostare i pesi verso l'albero.,VERO,F,FALSO,V,2.1.1-89,VELA,TEORIA,TEORIA DELLA VELA
90,,E' meglio evitare un'impostazione troppo poggera di un'unità perché tale impostazione limita notevolmente l'azione del timone.,VERO,V,FALSO,F,2.1.1-90,VELA,TEORIA,TEORIA DELLA VELA
91,,"Un'unità in navigazione a vela con andatura di bolina, se eccessivamente sbandata sottovento, subisce un aumento della velocità e una miglior performance delle vele bordate.",VERO,F,FALSO,V,2.1.1-91,VELA,TEORIA,TEORIA DELLA VELA
92,,E' meglio preferire un'impostazione leggermente orziera di un'unità a vela perché tale impostazione favorisce le prestazioni e la sicurezza a bordo.,VERO,V,FALSO,F,2.1.1-92,VELA,TEORIA,TEORIA DELLA VELA
93,,L'inclinazione verso la prua dell'albero di un'unità a vela rende la stessa tendenzialmente poggera.,VERO,V,FALSO,F,2.1.1-93,VELA,TEORIA,TEORIA DELLA VELA
94,,L'inclinazione verso la poppa dell'albero di un'unità a vela rende la stessa tendenzialmente poggera.,VERO,F,FALSO,V,2.1.1-94,VELA,TEORIA,TEORIA DELLA VELA
95,,Lascare la drizza e la base della randa aumenta la concavità della vela (grasso) e le fa assumere una configurazione adatta all'andatura in fil di ruota.,VERO,V,FALSO,F,2.1.1-95,VELA,TEORIA,TEORIA DELLA VELA
96,,"L'angolo di incidenza è quello formato tra la direzione del vento apparente e quella verso cui è orientata la vela, in pratica l'angolo con cui il profilo fende l'aria.",VERO,V,FALSO,F,2.1.1-96,VELA,TEORIA,TEORIA DELLA VELA
97,,"La spinta della randa è principalmente orziera, quella del genoa o del fiocco tendenzialmente poggiera.",VERO,V,FALSO,F,2.1.1-97,VELA,TEORIA,TEORIA DELLA VELA
98,,"Al crescere del vento si cazzano cunningham (o la drizza randa), il tesabase, la drizza genova.",VERO,V,FALSO,F,2.1.1-98,VELA,TEORIA,TEORIA DELLA VELA
99,,Al crescere del vento è utile spostare verso prua il carrello del genoa.,VERO,F,FALSO,V,2.1.1-99,VELA,TEORIA,TEORIA DELLA VELA
100,,"Negli armamenti frazionati, le sartie volanti servono a sostenere l'albero, controbilanciando lo sforzo trasmesso dalle vele allo strallo.",VERO,V,FALSO,F,2.2.1-1,VELA,ATTREZZATURA,ATTREZZATURA DELLE UNITA' A VELA
101,,"Negli armamenti frazionati con crocette acquartierate verso poppa e paterazzo, le sartie volanti possono dare supporto all'albero ma non sono strutturali.",VERO,V,FALSO,F,2.2.1-2,VELA,ATTREZZATURA,ATTREZZATURA DELLE UNITA' A VELA
102,,"Si intende per unità attrezzata con armo frazionato quella in cui lo strallo non è ""incappellato"" in testa d'albero.",VERO,V,FALSO,F,2.2.1-3,VELA,ATTREZZATURA,ATTREZZATURA DELLE UNITA' A VELA
103,,Si intende per unità attrezzata con armo frazionato quella il cui scafo è suddiviso in almeno tre compartimenti.,VERO,F,FALSO,V,2.2.1-4,VELA,ATTREZZATURA,ATTREZZATURA DELLE UNITA' A VELA
104,,Le crocette garantiscono  un'adeguato punto di forza e ritenuta delle scotte sul piano di coperta.,VERO,F,FALSO,V,2.2.1-5,VELA,ATTREZZATURA,ATTREZZATURA DELLE UNITA' A VELA
105,,Le crocette servono a tensionare le sartie che sorreggono l'albero lateralmente.,VERO,V,FALSO,F,2.2.1-6,VELA,ATTREZZATURA,ATTREZZATURA DELLE UNITA' A VELA
106,,La regolazione delle sartie si attua attraverso l'utilizzo del carrello della scotta.,VERO,F,FALSO,V,2.2.1-7,VELA,ATTREZZATURA,ATTREZZATURA DELLE UNITA' A VELA
107,,L'avvolgifiocco è una particolare galloccia dove viene avvolta la scotta sottovento del fiocco.,VERO,F,FALSO,V,2.2.1-8,VELA,ATTREZZATURA,ATTREZZATURA DELLE UNITA' A VELA
108,,"La  balumina è il lato più corto della randa, che si introduce all'interno della canaletta del boma.",VERO,F,FALSO,V,2.2.1-9,VELA,ATTREZZATURA,ATTREZZATURA DELLE UNITA' A VELA
109,,La ralinga della randa è il cavo cucito nel lato di inferitura per essere introdotto all'interno della canaletta dell'albero.,VERO,V,FALSO,F,2.2.1-10,VELA,ATTREZZATURA,ATTREZZATURA DELLE UNITA' A VELA
110,,"Per ""base"" della randa si intende il lato libero della vela dove sono ricavate le tasche per poter introdurre le stecche.",VERO,F,FALSO,V,2.2.1-11,VELA,ATTREZZATURA,ATTREZZATURA DELLE UNITA' A VELA
111,,"Per ""angolo di scotta"" della randa si intende quello compreso tra la base e la balumina, dove è agganciato il tesabase.",VERO,V,FALSO,F,2.2.1-12,VELA,ATTREZZATURA,ATTREZZATURA DELLE UNITA' A VELA
112,,"Per ""angolo di penna"" della randa si intende l'angolo compreso tra la base e la ralinga ove è agganciata la trozza del boma.",VERO,F,FALSO,V,2.2.1-13,VELA,ATTREZZATURA,ATTREZZATURA DELLE UNITA' A VELA
113,,"Per ""angolo di mura"" della randa si intende l'angolo compreso tra la balumina e la ralinga, posto all'estremità superiore della vela, ove è agganciata la drizza.",VERO,F,FALSO,V,2.2.1-14,VELA,ATTREZZATURA,ATTREZZATURA DELLE UNITA' A VELA
114,,Il fiocco consente all'unità a vela di navigare esclusivamente con angoli compresi tra i 40° e i 70° rispetto alla direzione da cui spira il vento.,VERO,F,FALSO,V,2.2.1-15,VELA,ATTREZZATURA,ATTREZZATURA DELLE UNITA' A VELA
115,,"La randa rappresenta la vela principale di un'unità a vela, ubicata a poppavia dell'albero, e di forma triangolare.",VERO,V,FALSO,F,2.2.1-16,VELA,ATTREZZATURA,ATTREZZATURA DELLE UNITA' A VELA
116,,Il genoa o genova rappresenta una particolare tipologia di vela prodiera avente una superficie ridotta utilizzata in caso di condizioni meteo marine avverse.,VERO,F,FALSO,V,2.2.1-17,VELA,ATTREZZATURA,ATTREZZATURA DELLE UNITA' A VELA
117,,Il genoa o genova è la vela prodiera avente una superficie che non si sovrappone a quella della randa.,VERO,F,FALSO,V,2.2.1-18,VELA,ATTREZZATURA,ATTREZZATURA DELLE UNITA' A VELA
118,,Il genoa (o genova) oltrepassa l'albero verso poppa fino a una lunghezza generalmente pari al 50% della distanza fra l'albero e il punto di mura .,VERO,V,FALSO,F,2.2.1-19,VELA,ATTREZZATURA,ATTREZZATURA DELLE UNITA' A VELA
119,,Il fiocco è la vela prodiera avente una superficie che non si sovrappone a quella della randa.,VERO,V,FALSO,F,2.2.1-20,VELA,ATTREZZATURA,ATTREZZATURA DELLE UNITA' A VELA
120,,"Lo spinnaker rappresenta la vela principale, utilizzata in particolar modo nelle andature di bolina al fine di dare maggiore potenza e superficie velica.",VERO,F,FALSO,V,2.2.1-21,VELA,ATTREZZATURA,ATTREZZATURA DELLE UNITA' A VELA
121,,Il gennaker è una vela asimmetrica adatta alle andature comprese tra il traverso e il lasco (60°- 120° dal vento).,VERO,V,FALSO,F,2.2.1-22,VELA,ATTREZZATURA,ATTREZZATURA DELLE UNITA' A VELA
122,,Il code 0 è una vela asimmetrica adatta alle andature con poco vento comprese tra la bolina larga e il traverso.,VERO,V,FALSO,F,2.2.1-23,VELA,ATTREZZATURA,ATTREZZATURA DELLE UNITA' A VELA
123,,Il code 0 è una vela inferita.,VERO,F,FALSO,V,2.2.1-24,VELA,ATTREZZATURA,ATTREZZATURA DELLE UNITA' A VELA
124,,Lo sloop è l'armo caratterizzato dalla presenza di un solo albero e la possibilità di issare una sola vela di prua alla volta.,VERO,V,FALSO,F,2.2.1-25,VELA,ATTREZZATURA,ATTREZZATURA DELLE UNITA' A VELA
125,,"Il cutter è l'armo caratterizzato dalla presenza di un solo albero, armato con due fiocchi contemporaneamente.",VERO,V,FALSO,F,2.2.1-26,VELA,ATTREZZATURA,ATTREZZATURA DELLE UNITA' A VELA
126,,Il ketch è quell'armo caratterizzato dalla presenza dell'albero di mezzana a proravia dell'asse del timone.,VERO,V,FALSO,F,2.2.1-27,VELA,ATTREZZATURA,ATTREZZATURA DELLE UNITA' A VELA
127,,Tra le manovre fisse vi sono  drizze e scotte.,VERO,F,FALSO,V,2.2.1-28,VELA,ATTREZZATURA,ATTREZZATURA DELLE UNITA' A VELA
128,,Tra le manovre correnti vi sono stralli e sartie.,VERO,F,FALSO,V,2.2.1-29,VELA,ATTREZZATURA,ATTREZZATURA DELLE UNITA' A VELA
129,,Il paranco di scotta assolve la funzione di demoltiplicare lo sforzo.,VERO,V,FALSO,F,2.2.1-30,VELA,ATTREZZATURA,ATTREZZATURA DELLE UNITA' A VELA
130,Figura 102,Quello rappresentato in figura è un paranco con un rapporto 6:1,VERO,F,FALSO,V,2.2.1-31,VELA,ATTREZZATURA,ATTREZZATURA DELLE UNITA' A VELA
131,Figura 103,"Quello rappresentato in figura è un paranco doppio con il rapporto più favorevole, il cosiddetto ""fino"" di 8:1.",VERO,V,FALSO,F,2.2.1-32,VELA,ATTREZZATURA,ATTREZZATURA DELLE UNITA' A VELA
132,,"Il cunningham assolve la funzione  di porre in tensione la parte prodiera bassa della randa, mediante un paranco verticale.",VERO,V,FALSO,F,2.2.1-33,VELA,ATTREZZATURA,ATTREZZATURA DELLE UNITA' A VELA
133,,Il tangone è il pennone sul quale è fissata la base della randa.,VERO,F,FALSO,V,2.2.1-34,VELA,ATTREZZATURA,ATTREZZATURA DELLE UNITA' A VELA
134,,Il winch è un particolare meccanismo costituito da due bozzelli utilizzato per moltiplicare lo sforzo di trazione esercitato sulle cime.,VERO,F,FALSO,V,2.2.1-35,VELA,ATTREZZATURA,ATTREZZATURA DELLE UNITA' A VELA
135,,"Le scotte devono essere avvolte intorno al tamburo  del winch sempre in senso orario, ponendo particolare attenzione per evitare la sovrapposizione dei ""colli"".",VERO,V,FALSO,F,2.2.1-36,VELA,ATTREZZATURA,ATTREZZATURA DELLE UNITA' A VELA
136,,"La ferramenta di bordo è costituita dall'insieme di elementi come strozzascotte, winch, arridatori e galloccie.",VERO,V,FALSO,F,2.2.1-37,VELA,ATTREZZATURA,ATTREZZATURA DELLE UNITA' A VELA
